,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
4390,646,AnswerCText,\( 187.26 \),MisconceptionCId,739.0,Round numbers greater than 1 to two significant figures,What is \( \mathbf{1 8 7 . 2 5 9} \) rounded to two significant figures?,Rounds to wrong degree of accuracy (decimal places rather than significant figures)
4393,649,AnswerCText,Both Tom and Katie,MisconceptionCId,2051.0,Multiply a decimal by an integer,"Tom and Katie are discussing multiplying decimals.

Tom says \( 5 \times 3.9=3 \times 5.9 \)

Katie says \( 5 \times 3.9=3.9 \times 5 \)

Who is correct?",Does not correctly apply the commutative property of multiplication
4394,650,AnswerCText,A triangle with three sides of equal length and three equal angles.,MisconceptionCId,1176.0,Describe the properties of an isosceles triangle,Which description describes an isosceles triangle?,Confuses isosceles and equilateral triangles
4396,652,AnswerCText,To get the next term you double the previous term and add \( 2 \),MisconceptionCId,108.0,Describe a term-to-term sequence,"Which of the following term-to-term rule describes this sequence?
\[
4, \quad 10, \quad 28, \quad 82, \quad \ldots
\]",Uses only the first two terms of a sequence to work out a term-to-term rule
4399,655,AnswerCText,\( -\frac{8}{6} \),MisconceptionCId,1597.0,Carry out missing number multiplication problems involving negative integers,"What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\)",Believes multiplying two negatives gives a negative answer
4401,657,AnswerCText,Both Tom and Katie,MisconceptionCId,2375.0,Order integers with the same number of digits,"Tom and Katie are discussing how to order integers

Tom says \( 5000 \) is greater than \( 4987 \)

Katie says \( 3050 \) is greater than \( 3500 \)

Who is correct?",Does not equate the value of a number with the place value column it is in
4402,658,AnswerCText,Both Tom and Katie,MisconceptionCId,2511.0,Work out the y-intercept of a line from an accurate drawing,"Use a graphing program (e.g. Desmos) to plot the following pairs of functions.
\[
y=x^{2} - 4 \quad \text { and } \quad y=x-4
\]

Tom says both functions are linear

Katie says both functions cross the \( y \)-axis at the same point

Who is correct?",Does not know the properties of a linear graph
4404,660,AnswerCText,\( 5 \),MisconceptionCId,130.0,Find the gradient of a line written in the form ax + by = c,"A line has equation \( 5 x+3 y=7 \)
What is its gradient?","Believes that for a line written in the form ax + by = c, a is the gradient"
4405,661,AnswerCText,\( 6 \),MisconceptionCId,1292.0,Calculate the area of a right-angled triangle where the dimensions are given in the same units,"What is the area of this shape? ![Purple, right angled triangle on square grid with area of 5 square units. Base length 5 and perpendicular height 2]()",Does not realise that the area of a triangle is half the area of the contatining rectangle
4410,666,AnswerCText,\( 34500 \),MisconceptionCId,1379.0,Round non-integers to the nearest 100,"\[
34590.8549
\]
What is this number rounded to the nearest \( 100 \) ?",Rounds down instead of up
4411,667,AnswerCText,\( 4.6 \% \),MisconceptionCId,1965.0,Convert decimals greater than 1 to percentages,How do you write \( 4.6 \) as a percentage?,Thinks you need to just add a % sign to a decimal to convert to a percentage
4412,668,AnswerCText,\( 1 \),MisconceptionCId,1264.0,Calculate the mode as an average from a list of data when there is a single mode,"What is the mode of the following numbers?
\[
0,0,2,2
\]",Finds the median instead of the mode
4414,670,AnswerCText,\( £ 7.70 \),MisconceptionCId,1773.0,Calculate the change from purchases between £1 and £5,"A magazine costs \( £ 2.70 \).

Isaac pays for it with a \( £ 5 \) note.

How much change should he receive?",Adds rather than subtracts when answering worded problems
4423,679,AnswerCText,\( 0.3 \),MisconceptionCId,1447.0,Convert the reminders from written division problems into decimals,"John has been asked to work out the answer to:
\[
231 \div 4
\]
He gets the answer \( 57 \) remainder \( 3 \)
What is the exact value of that remainder?",Writes the remainder as the digit after the decimal point
4426,682,AnswerCText,\( 288 \mathrm{~m}^{2} \),MisconceptionCId,1148.0,"Calculate missing lengths of shapes by geometrical inference, where the lengths given are in the same units","What is the area of the shaded section of this composite shape made from rectangles? ![A compound shape making a T shape where there is a rectangle across the top and a rectangle attached below this, slightly to the left of the centre. The full width across the top is 32m, the partial width on the left is 10m, the partial width on the right is 11m. The full height on the right is 25m, the partial height on the lower block is 14m. The shaded section is the top rectangle across the full width.]()",Uses an incorrect side length when splitting a composite shape into parts
4427,683,AnswerCText,\( 9 \),MisconceptionCId,2576.0,Recognise cube numbers,Which of the following numbers is a cube number?,Mixes up square numbers and cube numbers
4429,685,AnswerCText,\( 9 \),MisconceptionCId,2150.0,Identify common factors of two numbers,A common factor of \( 6 \) and \( 9 \) is...,Does not know the 6 timestable
4430,686,AnswerCText,\( 3 \),MisconceptionCId,1805.0,"Given a negative x value, find the corresponding y value for curves in the form y = x² + bx + c","\begin{tabular}{llll|l|l}
\( x \) & \( -1 \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) \\
\hline\( y \) & \( \bigstar \) &  &  \( 3 \)  
\end{tabular} This is a table of values for \( y=x^{2}-x+3 \) What should replace the star?",Does not realise that subtracting a negative is the same as adding it's additive inverse
4431,687,AnswerCText,\( 8690 \),MisconceptionCId,1379.0,Round non-integers to the nearest 10,What is \( \mathbf{8 6 9 8 . 9} \) rounded to the nearest ten?,Rounds down instead of up
4433,689,AnswerCText,\( p=2 \),MisconceptionCId,623.0,"Solve two-step linear equations, with the variable on one side, involving positive fractions","Solve the equation:
\(
10=\frac{5}{p}
\)",Assumes the denominator is divided by the numerator
4434,690,AnswerCText,Both Tom and Katie,MisconceptionCId,1198.0,Recognise when an ascending sequence is linear,"Tom and Katie are discussing linear sequences.

Tom says this is a linear sequence: \( 1,2,4,7,11, \ldots \) 

Katie says this is a linear sequence: \( 1.2,1.4,1.6,1.8,2, \ldots \) 

Who is correct?
",Does not recognise that a linear sequence must increase or decrease by same amount
4436,692,AnswerCText,\( 0.3 \),MisconceptionCId,2481.0,Solve missing number mental multiplication problems with decimals,What should replace the star? \( 0.03 \times \bigstar=0.00009 \),"When multiplying decimals, divides by the wrong power of 10 when reinserting the decimal"
4437,693,AnswerCText,\( -2 \),MisconceptionCId,2271.0,Complete missing number mental subtraction problems up to 100,"What should replace the star?
\[
\bigstar-26=28
\]","When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation"
4438,694,AnswerCText,\( \frac{3}{s+t} \),MisconceptionCId,1980.0,Multiply algebraic fractions where the numerators and denominators are all single terms,"Express the following as a single fraction, writing your answer as simply as possible:

\(
\frac{1}{s} \times \frac{2}{t}
\)","When multiplying fractions, adds the numerators and the denominators"
4439,695,AnswerCText,\( 22 \),MisconceptionCId,1507.0,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",\( 18 \div 2+2 \times 2= \),Carries out operations from left to right regardless of priority order
4441,697,AnswerCText,\( 3 \),MisconceptionCId,836.0,Calculate the mean as an average from a list of data,"Without using a calculator, what is the mean of the following numbers?

\[
2,2,3,3,2
\]",Believes the mean is the middle number
4442,698,AnswerCText,\( \frac{2}{9} \),MisconceptionCId,217.0,Calculate the probability of two independent events occurring without drawing a tree diagram,"![Two spinners shown. The first spinner has the numbers 1-4 and the second spinner has the number 1-5.]() You spin the above fair spinners
What is the probability of getting a \( 1 \) on both spinners?","When adding fractions, adds the numerators and denominators"
4443,699,AnswerCText,Both Tom and Katie,MisconceptionCId,1287.0,Calculate the range from a list of data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\[
23 \mathrm{~cm}, \quad 17 \mathrm{~cm}, \quad 40 \mathrm{~cm}, \quad 25 \mathrm{~cm}, \quad 31 \mathrm{~cm}
\]

Tom says if all the plants doubled in height, the range wouldn't change.

Katie says if all the plants grew by \( 12 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Believes if you changed all values by the same proportion the range would not change
4446,702,AnswerCText,\( 1 \),MisconceptionCId,1988.0,Round decimals to the nearest whole number,"\[
0.059623
\]
What is this number rounded to the nearest integer?",Rounds up instead of down
4450,706,AnswerCText,Co-Interior,MisconceptionCId,785.0,Identify corresponding angles,These marked angles are: ![A pair of parallel lines drawn pointing up to the right. A straight line is drawn that crosses both parallel lines. The angles formed above the straight line and to the right of each of the parallel lines is marked.](),Confuses co-interior and alternate angles
4451,707,AnswerCText,\( 64 \),MisconceptionCId,11.0,Read values off a real life graph,"![A linear graph showing that 10 miles = £8. ]() The graph can be used to work out how much Kay's company pays her for travel.

Kay's company paid her \( £ 80 \)

How many miles did she travel?","When reading value from graph, reads from the wrong axes."
4453,709,AnswerCText,\( y=-2 \),MisconceptionCId,2113.0,Recognise the equations of vertical lines from a diagram,"What is the equation of this line? ![A coordinate grid with a red line drawn on passing through the points: (-2,-10) (-2,-2) (-2, 0) (-2,4) (-2,10)]()",Confuses the equations of vertical and horizontal lines
4454,710,AnswerCText,Kite,MisconceptionCId,1180.0,Identify a rectangle when presented non-conventionally,![A rhombus drawn on a grid]() What shape do you get if you join up the midpoints of the sides of this shape?,Does not know the properties of a rectangle
4456,712,AnswerCText,\( 2 \),MisconceptionCId,520.0,For a given output find the input of a function machine,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The middle rectangle has ""+¼"" written inside it and the final rectangle has ""output"" written above it and ""8"" written inside it.]() What is the input of this function machine?",Thinks the inverse of addition is multiplication
4459,715,AnswerCText,Both Tom and Katie,MisconceptionCId,340.0,"Solve two-step linear equations, with the variable on one side, with all positive integers","Tom and Katie are arguing about a first step to solve this equation:
\(
\frac{m}{4}-1=20
\)
Tom says you can write: \( \frac{m}{4}=21 \)
Katie says you can write: \( m-1=80 \)
Who is correct?",Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount
4460,716,AnswerCText,\( 045^{\circ} \),MisconceptionCId,1040.0,"Know the bearings of North-West, North-East, South-West and South-East",On what bearing is North-West? ![Shows a compass.](),Does not measure bearing clockwise from the north line
4465,721,AnswerCText,\( 40 \),MisconceptionCId,1379.0,Round numbers greater than 1 to one significant figure,What is \( \mathbf{4 5 . 6 2 8} \) rounded to one significant figure?,Rounds down instead of up
